Date,Region,City,Customer Type,Channel,Product,Category,Unit Price,Quantity,Sales Rep,Cost Price
2025-01-19,West,Port Harcourt,Retail,Online,Office Chair Pro,Furniture,85000,1,Chidinma,68000
2025-04-29,East,Lagos,Retail,Store,Blender B10,Home Appliances,30000,8,Chidinma,24000
2025-02-27,East,Port Harcourt,Corporate,Online,Office Chair Pro,Furniture,85000,2,David,68000
2025-04-25,South,Kano,Retail,Online,Microwave M20,Home Appliances,60000,2,Musa,48000
2025-04-27,North,Kano,Corporate,Online,Desktop PC D21,Electronics,300000,2,Chidinma,240000
2025-03-08,South,Abuja,Retail,Online,Air Conditioner X2,Home Appliances,180000,10,Chidinma,144000
2025-03-09,South,Abuja,Corporate,Online,Sofa Classic,Furniture,320000,4,Musa,256000
2025-02-06,South,Kano,Retail,Online,Sofa Classic,Furniture,320000,1,Peter,256000
2025-03-24,East,Lagos,Retail,Store,Sofa Classic,Furniture,320000,9,Musa,256000
2025-03-26,South,Lagos,Retail,Online,Sofa Classic,Furniture,320000,3,Musa,256000
2025-01-24,South,Port Harcourt,Retail,Online,Printer P50,Electronics,150000,4,Peter,120000
2025-01-20,West,Kano,Corporate,Online,Sofa Classic,Furniture,320000,7,Peter,256000
2025-04-26,South,Port Harcourt,Retail,Store,Printer P50,Electronics,150000,2,Aisha,120000
2025-03-15,West,Lagos,Retail,Online,Laptop A13,Electronics,420000,9,Musa,336000
2025-03-17,North,Lagos,Retail,Online,Laptop A13,Electronics,420000,5,Grace,336000
2025-04-11,West,Kano,Corporate,Store,Smartphone Z10,Electronics,250000,4,Peter,200000
2025-02-12,West,Lagos,Retail,Online,Refrigerator R55,Home Appliances,220000,2,Peter,176000
2025-02-10,East,Kano,Retail,Store,Printer P50,Electronics,150000,7,Musa,120000
2025-03-03,South,Abuja,Corporate,Store,Desktop PC D21,Electronics,300000,5,Peter,240000
2025-02-10,North,Kano,Retail,Online,Printer P50,Electronics,150000,4,Peter,120000
2025-05-01,North,Kano,Corporate,Store,Office Chair Pro,Furniture,85000,1,Grace,68000
2025-03-15,East,Port Harcourt,Retail,Store,Office Chair Pro,Furniture,85000,9,David,68000
2025-04-04,East,Lagos,Retail,Store,Laptop A13,Electronics,420000,8,Grace,336000
2025-04-15,North,Lagos,Corporate,Online,Laptop A13,Electronics,420000,10,Grace,336000
2025-02-26,East,Port Harcourt,Retail,Store,Smartphone Z10,Electronics,250000,5,Aisha,200000
2025-02-09,North,Lagos,Corporate,Store,Refrigerator R55,Home Appliances,220000,4,Grace,176000
2025-03-30,West,Abuja,Corporate,Online,Printer P50,Electronics,150000,7,Musa,120000
2025-03-01,South,Kano,Retail,Online,Office Chair Pro,Furniture,85000,3,Peter,68000
2025-02-10,East,Port Harcourt,Retail,Store,Desktop PC D21,Electronics,300000,8,Grace,240000
2025-02-09,West,Lagos,Corporate,Online,Refrigerator R55,Home Appliances,220000,1,David,176000
2025-01-14,South,Abuja,Corporate,Online,Sofa Classic,Furniture,320000,7,Grace,256000
2025-01-01,West,Abuja,Retail,Store,Printer P50,Electronics,150000,1,Chidinma,120000
2025-02-20,East,Kano,Retail,Online,Air Conditioner X2,Home Appliances,180000,9,Grace,144000
2025-03-09,South,Kano,Retail,Online,Sofa Classic,Furniture,320000,5,Grace,256000
2025-02-09,South,Kano,Corporate,Store,Printer P50,Electronics,150000,8,Aisha,120000
2025-02-13,West,Port Harcourt,Corporate,Store,Office Chair Pro,Furniture,85000,7,David,68000
2025-03-13,South,Abuja,Corporate,Online,Sofa Classic,Furniture,320000,6,David,256000
2025-02-03,West,Kano,Retail,Store,Laptop A13,Electronics,420000,8,Aisha,336000
2025-02-04,South,Port Harcourt,Corporate,Online,Desktop PC D21,Electronics,300000,7,Peter,240000
2025-02-18,West,Port Harcourt,Retail,Online,Blender B10,Home Appliances,30000,6,David,24000
2025-02-21,West,Port Harcourt,Corporate,Store,Refrigerator R55,Home Appliances,220000,2,Peter,176000
2025-01-24,West,Abuja,Retail,Online,Printer P50,Electronics,150000,1,David,120000
2025-01-28,North,Lagos,Retail,Store,Sofa Classic,Furniture,320000,1,Grace,256000
2025-04-18,North,Abuja,Corporate,Store,Blender B10,Home Appliances,30000,3,David,24000
2025-01-03,West,Port Harcourt,Corporate,Online,Microwave M20,Home Appliances,60000,5,Musa,48000
2025-03-30,East,Kano,Corporate,Online,Printer P50,Electronics,150000,3,Musa,120000
2025-04-04,East,Lagos,Retail,Online,Sofa Classic,Furniture,320000,10,Musa,256000
2025-02-08,East,Port Harcourt,Corporate,Online,Refrigerator R55,Home Appliances,220000,6,Chidinma,176000
2025-03-16,West,Abuja,Corporate,Online,Air Conditioner X2,Home Appliances,180000,8,Musa,144000
2025-01-26,West,Kano,Retail,Store,Sofa Classic,Furniture,320000,2,David,256000
2025-02-06,West,Lagos,Retail,Store,Desktop PC D21,Electronics,300000,9,Peter,240000
2025-01-17,North,Kano,Retail,Store,Laptop A13,Electronics,420000,1,Peter,336000
2025-04-06,East,Kano,Retail,Online,Microwave M20,Home Appliances,60000,1,Musa,48000
2025-03-09,East,Lagos,Corporate,Store,Desktop PC D21,Electronics,300000,9,Peter,240000
